epoch,total_steps,train_loss,val_loss
1,50,0.765625,0.698918
1,100,0.746094,0.667668
1,150,0.628906,0.648287
1,200,0.722656,0.636418
1,250,0.683594,0.627554
1,300,0.361328,0.620793
1,350,0.699219,0.614333
1,400,0.578125,0.608624
1,450,0.746094,0.604718
1,500,0.824219,0.600661
1,550,0.632812,0.595853
1,600,0.824219,0.594651
1,650,0.515625,0.591797
1,700,0.427734,0.590144
1,750,0.458984,0.590294
1,800,0.734375,0.587139
1,850,0.824219,0.587139
1,900,0.482422,0.584135
1,950,0.667969,0.582332
1,1000,0.636719,0.580078
1,1050,0.550781,0.579928
1,1100,0.515625,0.578576
1,1150,0.808594,0.577825
1,1200,0.621094,0.577224
1,1250,0.796875,0.575871
1,1300,0.855469,0.573918
1,1350,0.421875,0.574219
1,1400,0.578125,0.573468
1,1450,0.550781,0.572115
1,1500,0.613281,0.571214
1,1550,0.593750,0.570913
1,1600,0.816406,0.570913
1,1650,0.458984,0.568960
1,1700,0.531250,0.568510
1,1750,0.578125,0.568510
1,1800,0.628906,0.567308
1,1850,0.750000,0.568059
1,1900,0.847656,0.566857
1,1950,0.585938,0.565505
1,2000,0.519531,0.566106
1,2050,0.554688,0.563552
1,2100,0.699219,0.565355
1,2150,0.558594,0.564453
1,2200,0.675781,0.564153
1,2250,0.386719,0.562200
1,2300,0.550781,0.564603
1,2350,0.550781,0.561749
1,2400,0.695312,0.561749
1,2450,0.710938,0.561448
1,2500,0.412109,0.561749
1,2550,0.527344,0.560397
1,2600,0.890625,0.559345
1,2650,0.585938,0.558293
1,2700,0.695312,0.558744
1,2750,0.447266,0.557993
1,2800,0.554688,0.559044
1,2850,0.679688,0.558293
1,2900,0.453125,0.557242
1,2950,0.726562,0.557843
1,3000,0.574219,0.556190
1,3050,0.326172,0.554838
1,3100,0.494141,0.555439
1,3150,0.593750,0.556190
1,3200,0.546875,0.556791
1,3250,0.566406,0.555138
1,3300,0.531250,0.555288
1,3350,0.562500,0.556040
1,3400,0.589844,0.556190
1,3450,0.613281,0.554688
1,3500,0.605469,0.553335
1,3550,0.628906,0.555138
1,3600,0.714844,0.554237
1,3650,0.429688,0.553185
1,3700,0.605469,0.551833
1,3750,0.402344,0.552885
1,3800,0.460938,0.550481
1,3850,0.449219,0.553786
1,3900,0.617188,0.551833
1,3950,0.531250,0.552734
1,4000,0.792969,0.551232
1,4050,0.687500,0.550331
1,4100,0.664062,0.551532
1,4150,0.496094,0.550631
1,4200,0.554688,0.550781
1,4250,0.976562,0.550030
1,4300,1.054688,0.550030
1,4350,0.363281,0.550180
1,4400,0.730469,0.549880
1,4450,0.451172,0.548678
1,4500,0.470703,0.549129
1,4550,0.507812,0.549579
1,4600,0.535156,0.548828
1,4650,0.726562,0.550180
1,4700,0.570312,0.551532
1,4750,0.886719,0.549279
1,4800,0.457031,0.548528
1,4850,0.558594,0.546424
1,4900,0.792969,0.546274
1,4950,0.466797,0.547326
1,5000,0.449219,0.547476
1,5050,0.476562,0.547025
1,5100,0.609375,0.546875
1,5150,0.412109,0.546875
1,5200,0.605469,0.546124
1,5250,0.380859,0.546424
1,5300,0.550781,0.546274
1,5350,0.769531,0.546424
1,5400,0.539062,0.546124
1,5450,0.609375,0.547476
1,5500,0.609375,0.546875
1,5550,0.699219,0.545523
1,5600,0.847656,0.544772
1,5650,0.503906,0.545373
1,5700,0.523438,0.544621
1,5750,0.498047,0.544772
1,5800,0.628906,0.545673
1,5850,0.523438,0.545222
1,5900,0.408203,0.544171
1,5950,0.550781,0.544471
1,6000,0.679688,0.543870
1,6050,0.386719,0.544171
1,6100,0.449219,0.544471
1,6150,0.890625,0.544020
