epoch,total_steps,train_loss,val_loss
1,50,0.269531,0.539225
1,100,0.593750,0.509928
1,150,0.431641,0.493001
1,200,0.753906,0.479492
1,250,0.359375,0.471191
1,300,0.199219,0.465251
1,350,0.192383,0.459554
1,400,0.281250,0.454671
1,450,0.357422,0.451213
1,500,0.257812,0.450195
1,550,0.194336,0.446370
1,600,0.458984,0.442790
1,650,0.423828,0.442301
1,700,0.233398,0.441691
1,750,0.691406,0.439535
1,800,0.099609,0.438924
1,850,0.185547,0.435547
1,900,0.070801,0.436117
1,950,0.241211,0.433634
1,1000,0.233398,0.431559
1,1050,0.161133,0.431234
1,1100,0.201172,0.430664
1,1150,0.166992,0.429443
1,1200,0.367188,0.429403
1,1250,0.209961,0.426229
1,1300,0.318359,0.426961
1,1350,0.562500,0.429036
1,1400,0.546875,0.427450
1,1450,0.143555,0.426270
1,1500,0.707031,0.424316
1,1550,0.265625,0.424032
1,1600,0.402344,0.421631
1,1650,0.554688,0.423543
1,1700,0.535156,0.423665
1,1750,0.601562,0.420939
1,1800,0.597656,0.420329
1,1850,0.617188,0.420044
1,1900,0.414062,0.419800
1,1950,0.192383,0.420451
1,2000,0.281250,0.420369
1,2050,0.292969,0.418620
1,2100,0.198242,0.418579
1,2150,0.273438,0.418132
1,2200,0.209961,0.417684
1,2250,0.314453,0.418132
1,2300,0.206055,0.416870
1,2350,0.171875,0.415609
1,2400,0.298828,0.416667
1,2450,0.221680,0.415080
1,2500,0.125977,0.414917
1,2550,0.186523,0.414673
1,2600,0.410156,0.414958
1,2650,0.253906,0.414836
1,2700,0.355469,0.414022
1,2750,0.417969,0.412598
1,2800,0.237305,0.413859
1,2850,0.976562,0.413005
1,2900,0.238281,0.412313
1,2950,0.147461,0.412069
1,3000,0.523438,0.411458
1,3050,0.161133,0.411662
1,3100,0.304688,0.410726
1,3150,0.593750,0.409424
1,3200,0.466797,0.409749
1,3250,0.148438,0.408366
1,3300,0.249023,0.409261
1,3350,0.402344,0.410156
1,3400,0.228516,0.410441
1,3450,0.269531,0.409383
1,3500,0.466797,0.408122
1,3550,0.230469,0.408529
1,3600,0.177734,0.408447
1,3650,0.112305,0.408325
1,3700,0.229492,0.408040
1,3750,0.275391,0.408610
1,3800,0.746094,0.407674
1,3850,0.192383,0.408732
1,3900,0.203125,0.407104
1,3950,0.283203,0.407552
1,4000,0.734375,0.406453
1,4050,0.223633,0.407511
1,4100,0.404297,0.408000
1,4150,0.412109,0.406942
1,4200,0.279297,0.407552
1,4250,0.226562,0.406738
1,4300,0.820312,0.406616
1,4350,0.100586,0.405884
1,4400,0.609375,0.406250
1,4450,0.472656,0.405924
1,4500,0.419922,0.406779
1,4550,0.165039,0.406169
1,4600,0.137695,0.406494
1,4650,0.656250,0.405680
1,4700,0.152344,0.406576
1,4750,0.785156,0.405396
1,4800,0.449219,0.404867
1,4850,0.273438,0.406006
1,4900,0.562500,0.405640
1,4950,0.173828,0.405924
1,5000,0.566406,0.404012
1,5050,0.605469,0.405314
1,5100,0.132812,0.405314
1,5150,0.359375,0.405233
1,5200,0.249023,0.404582
1,5250,0.570312,0.403931
1,5300,0.251953,0.404500
1,5350,0.263672,0.404622
1,5400,0.177734,0.403971
1,5450,0.104004,0.404541
1,5500,0.812500,0.403768
1,5550,0.250000,0.403524
1,5600,0.204102,0.402629
1,5650,0.151367,0.403402
